oncelik_id	    ucak_id   talep_edilen_inis_saati	inisSaat   gecikme_suresi   kalkis
	1		11		1		1		0		2
	1		12		1		2		1		3
	2		23		2		3		1		4
	3		17		1		4		3		5
	2		27		2		5		3		6
	4		28		3		6		3		7
	3		24		8		8		0		9
	2		13		9		9		0		10
	2		6		10		10		0		11
	2		3		11		11		0		12
	3		4		10		12		2		13
	2		2		13		13		0		14
	1		1		14		14		0		15
	3		8		14		15		1		16
	3		15		13		16		3		17
	1		25		16		17		1		18
	3		14		16		18		2		19
	4		5		16		19		3		20
	4		9		19		20		1		21
	2		16		19		21		2		22
	3		21		16		22		6		23
	4		26		20		23		3		24
	4		20		16		24		8		25
	1		19		20		25		5		26
	3		18		20		26		6		27
